Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
Date,,,,,
2007-10-05,32.54542922973633,35.424697482052096,26.900123201294626,29.0514868911543,855215656
2007-10-08,30.879343032836914,33.645381309752935,30.685234236786414,33.645381309752935,126671715
2007-10-09,32.98216247558594,33.27332333144522,29.2294103669374,30.895501630729346,116725709
2007-10-10,33.28950881958008,33.96888726698826,32.998347881527316,33.83948069921518,67931378
2007-10-11,37.00990676879883,38.82158101766896,32.99834518139679,38.82158101766896,106320954
2007-10-12,36.767269134521484,38.14219971308791,35.90996035723603,36.233473434545786,99410791
2007-10-15,37.25254440307617,37.75399238175067,36.929031276677506,37.52753143810056,41814972
2007-10-16,41.05381774902344,41.70084829693079,37.0422564347305,37.30106514355186,138614496
2007-10-17,44.2566032409668,45.291842522417625,34.324747177407374,36.88050196948446,204876259
2007-10-18,42.70372772216797,48.34903171683244,40.875880023641976,44.96831887841198,146617799
2007-10-19,42.55815887451172,44.28895480297188,40.439145478534954,41.733197853020734,110266491
2007-10-22,41.992008209228516,43.30223439737445,40.600899365049735,41.7008473216324,72253405
2007-10-23,44.98451232910156,45.388903743345445,43.02725525140456,43.02725525140456,74594921
2007-10-24,44.28894805908203,46.42413502944351,43.787500207568094,45.93886107497698,63055170
2007-10-25,44.191898345947266,45.2271420031388,39.0318627353921,42.78461550780248,34522489
2007-10-26,45.51830291748047,46.246207379950434,43.755154797660126,44.96832890177674,62370025
2007-10-29,46.44031524658203,47.556437156688446,46.03592388609813,46.26238480313995,43657697
2007-10-30,47.475563049316406,48.75343722778894,45.680062618503946,47.07117165335785,79921711
2007-10-31,48.46227264404297,49.52986848158515,47.556437740607606,47.71819428678729,44655368
2007-11-01,47.378509521484375,50.03131900435608,46.99029638921167,49.6592797737885,50632492
2007-11-02,48.23582077026367,48.52698611833335,45.29185020010208,45.66389383642933,32001693
2007-11-05,49.2225456237793,50.30631572043101,47.91231453215131,48.20347992224327,38833135
2007-11-06,49.86956787109375,53.023821305752996,49.19018933065842,50.07985055581872,81880281
2007-11-07,49.141639709472656,51.503282985177385,48.04169632610232,50.79155697849123,33593141
2007-11-08,48.3005256652832,49.61075658162685,47.23293400419847,47.87996031708086,27990521
2007-11-12,49.46516799926758,50.33865517252419,45.56683229690677,46.844710867425235,35153735
2007-11-13,50.6459846496582,51.665049985482575,48.704906147925286,50.306297667025746,43830531
2007-11-14,49.9827880859375,52.24737982998339,49.72397496814729,51.53564924096946,36738579
2007-11-15,50.82390594482422,51.713566687882896,49.86954084710001,50.92095808889664,29242252
2007-11-16,50.468055725097656,51.61652545129008,49.88572952432617,50.59746008484893,18895294
2007-11-19,52.295902252197266,54.188454668917274,51.22831083144599,51.616523899025076,40716718
2007-11-20,51.48714065551758,53.5414504564157,50.85628812862021,52.08564098320222,26342171
2007-11-21,47.475563049316406,52.10179886391124,46.32708885203763,51.79446403573923,26814499
2007-11-22,45.84180450439453,48.882830339009885,43.85220035067249,46.97410005066695,34096185
2007-11-23,48.882843017578125,49.1740039274089,46.132977304053334,48.85049083027977,27664090
2007-11-26,49.27105712890625,50.694513908374624,48.88284403701158,50.694513908374624,20159123
2007-11-27,48.05788803100586,50.11219733371561,47.55644442256397,50.11219733371561,20573198
2007-11-28,47.34615707397461,49.33576636932726,47.022643938200545,49.10930541911432,16435311
2007-11-29,46.06827926635742,48.78578851962412,45.469779133762835,48.52697978614249,25530967
2007-11-30,47.84761047363281,48.138771451143114,46.262396806807196,46.90942315146485,18437721
2007-12-03,48.5269889831543,49.12548922917883,48.05789312839577,48.42993239875862,16851227
2007-12-04,47.896148681640625,49.254906104132196,47.5402832245186,48.85051453647748,14008727
2007-12-05,49.80485534667969,49.98279019540638,47.87995491575877,47.977007096571505,27725290
2007-12-06,48.882843017578125,51.64887824286127,48.25199072300544,50.888621587022385,24104710
2007-12-07,48.67256164550781,49.88573590060455,47.799078814594786,49.190183538601296,11742386
2007-12-10,48.72108459472656,49.31958029104971,48.090232324422594,49.14164984964451,8330010
2007-12-11,48.494632720947266,49.432819963847166,48.251997862201016,49.15783291301585,11685950
2007-12-12,48.46227264404297,48.89901619631353,47.556437740607606,47.87995083296697,16342131
2007-12-13,47.65349197387695,49.17400532889004,47.475561520555715,48.52697911619125,14620172
2007-12-14,47.18439483642578,47.928477592054016,46.94176001375016,47.49173403365245,10991851
2007-12-17,44.33747100830078,47.71818383838398,43.67426668142344,47.45937078841007,19355678
2007-12-18,44.143375396728516,45.6153583256099,42.76844464788838,43.836036180052076,21607783
2007-12-19,43.334590911865234,45.955047937900126,42.962551718991826,45.56683045703299,19526912
2007-12-20,42.89785385131836,44.256610852576145,42.70374508143468,43.900745505777394,17105204
2007-12-24,44.20807647705078,44.90362874992519,43.18900672301207,43.54487200315835,16711519
2007-12-26,45.55064010620117,46.10061394081685,44.450696824895545,44.450696824895545,20930094
2007-12-27,45.87416458129883,47.13586467249687,45.48594714342551,46.48883853465923,44565277
2007-12-28,46.23004150390625,46.4241502718391,45.291849856885435,45.777119582753606,18354518
2007-12-31,46.56970977783203,46.84469672252243,46.00356199261552,46.58588806159391,11982308
2008-01-01,47.42702102661133,47.86376450551846,46.37560365305871,46.81234713196585,16687746
2008-01-02,47.168216705322266,47.782890656706414,46.472664486968455,47.4270254044545,13437280
2008-01-03,49.10931396484375,49.30342275767146,46.31092573102374,46.87707381714628,31815218
2008-01-04,48.85049057006836,50.46805604709772,48.52697747466248,49.821029856285975,28011310
2008-01-07,48.44608688354492,49.56220414616955,47.92846518491378,48.5431390323206,15858063
2008-01-08,46.796180725097656,49.17400281267912,46.23003281795574,48.4946244465234,13282666
2008-01-09,46.052093505859375,47.0549848642491,45.938863057860644,46.844702253923835,13113527
2008-01-10,44.952152252197266,47.5564351358022,44.64481307611888,46.26238283724379,18023003
2008-01-11,45.63153839111328,46.068281994160536,43.83603788701402,45.56683400994789,11629440
2008-01-14,46.32708740234375,46.81235706230868,44.984508887359596,45.71241337730698,10264240
2008-01-15,44.9198112487793,47.26528162376092,44.54777199791953,47.07117724100139,11558334
2008-01-16,43.9977912902832,44.968330610454416,42.881673704842704,44.59629141530758,14834065
2008-01-17,45.17861557006836,46.181507032544616,43.221358731315455,44.15954582024081,16169395
2008-01-18,43.07577896118164,44.85510090419646,42.70373540820968,44.806570431772656,13254156
2008-01-21,35.748207092285156,42.703738891409635,31.138143124483168,42.703738891409635,33202389
2008-01-22,32.15721130371094,33.968885612588906,25.541366393195094,32.221913487464356,58755707
2008-01-23,35.748207092285156,37.12313779676325,32.674832576392944,32.674832576392944,28425991
2008-01-24,35.8290901184082,38.368669222079895,34.130646081853804,37.67311682755272,29911930
2008-01-25,37.67311477661133,37.85104524415448,36.152601300064134,37.5275321119468,12550722
2008-01-28,38.07749938964844,38.36866027903639,34.130638126616915,37.15548624998083,13601109
2008-01-29,37.4466552734375,38.72453395012439,36.88050727023432,38.174559848984444,7679877
2008-01-30,35.37616729736328,37.68928509516925,34.907071545085024,37.527528544442575,9016102
2008-01-31,33.063053131103516,35.845267171397005,32.67483777975103,35.748212785067885,41538563
2008-02-01,34.211524963378906,34.45415982995708,33.32186378592559,33.62920084479848,9089201
2008-02-04,35.974674224853516,36.39524180082375,34.85855418421403,34.85855418421403,12009385
2008-02-05,37.090789794921875,37.57605951009831,35.26294141200956,36.03937207870628,14593303
2008-02-06,36.767269134521484,37.20401266647503,34.71296240998266,36.07171689589091,12429218
2008-02-07,35.03647232055664,37.51134845466515,34.81001362570075,36.26582234201283,11300078
2008-02-08,34.130638122558594,35.55409477222915,33.499785872353954,35.262933882875814,13514197
